Precursor	logFC	mean_cancer	mean_normal	ttest_pvalue	BH.adjusted_pvalues	Precursor.ID	miRNA.ID	miRNA.name
hsa-mir-330	0.94	7.01	6.07	4.27189262490663e-15	1.90978729113473e-14	MI0000803	MIMAT0000751	hsa-miR-330-3p
hsa-mir-495	-1.26	4.36	5.62	4.37859364620151e-15	1.94117651648267e-14	MI0003135	MIMAT0002817	hsa-miR-495-3p
hsa-mir-495	-1.26	4.36	5.62	4.37859364620151e-15	1.94117651648267e-14	MI0003135	MIMAT0022924	hsa-miR-495-5p
hsa-mir-1468	-0.98	4.29	5.27	4.76529464528277e-15	2.09515433990945e-14	MI0003782	MIMAT0006789	hsa-miR-1468-5p
hsa-mir-1468	-0.98	4.29	5.27	4.76529464528277e-15	2.09515433990945e-14	MI0003782	MIMAT0026638	hsa-miR-1468-3p
hsa-mir-181d	1.11	6.36	5.25	6.20205107980489e-15	2.70450096266902e-14	MI0003139	MIMAT0002821	hsa-miR-181d-5p
hsa-mir-181d	1.11	6.36	5.25	6.20205107980489e-15	2.70450096266902e-14	MI0003139	MIMAT0026608	hsa-miR-181d-3p
hsa-mir-3178	0.41	0.55	0.14	7.08791676956709e-15	3.04844274195808e-14	MI0014212	MIMAT0015055	hsa-miR-3178
hsa-mir-548e	0.74	1.3	0.56	7.10539285719552e-15	3.04844274195808e-14	MI0006344	MIMAT0026736	hsa-miR-548e-5p
hsa-mir-548e	0.74	1.3	0.56	7.10539285719552e-15	3.04844274195808e-14	MI0006344	MIMAT0005874	hsa-miR-548e-3p
hsa-mir-3187	0.71	1.21	0.5	1.3869203288986e-14	5.90273291979245e-14	MI0014231	MIMAT0015069	hsa-miR-3187-3p
hsa-mir-3187	0.71	1.21	0.5	1.3869203288986e-14	5.90273291979245e-14	MI0014231	MIMAT0019216	hsa-miR-3187-5p
hsa-mir-331	1.07	6.9	5.83	1.7109364074996e-14	7.22395372055387e-14	MI0000812	MIMAT0004700	hsa-miR-331-5p
hsa-mir-331	1.07	6.9	5.83	1.7109364074996e-14	7.22395372055387e-14	MI0000812	MIMAT0000760	hsa-miR-331-3p
hsa-mir-3614	1.08	3.65	2.57	2.47363567650077e-14	1.03620014165229e-13	MI0016004	MIMAT0017993	hsa-miR-3614-3p
hsa-mir-3614	1.08	3.65	2.57	2.47363567650077e-14	1.03620014165229e-13	MI0016004	MIMAT0017992	hsa-miR-3614-5p
hsa-mir-556	0.89	1.55	0.67	4.48558831893625e-14	1.86432264505788e-13	MI0003562	MIMAT0003220	hsa-miR-556-5p
hsa-mir-556	0.89	1.55	0.67	4.48558831893625e-14	1.86432264505788e-13	MI0003562	MIMAT0004793	hsa-miR-556-3p
hsa-mir-665	-1.1	1.16	2.26	4.54089501667185e-14	1.8726791851701e-13	MI0005563	MIMAT0004952	hsa-miR-665
hsa-mir-15a	1.16	9.03	7.87	5.74327720408523e-14	2.35032574813334e-13	MI0000069	MIMAT0004488	hsa-miR-15a-3p
hsa-mir-15a	1.16	9.03	7.87	5.74327720408523e-14	2.35032574813334e-13	MI0000069	MIMAT0000068	hsa-miR-15a-5p
hsa-mir-181a-1	1.03	12.69	11.65	6.93194206831399e-14	2.79896634280277e-13	MI0000289	MIMAT0000270	hsa-miR-181a-3p
hsa-mir-181a-1	1.03	12.69	11.65	6.93194206831399e-14	2.79896634280277e-13	MI0000289	MIMAT0000256	hsa-miR-181a-5p
hsa-mir-17	1.02	10.96	9.94	6.94480370770613e-14	2.79896634280277e-13	MI0000071	MIMAT0000070	hsa-miR-17-5p
hsa-mir-17	1.02	10.96	9.94	6.94480370770613e-14	2.79896634280277e-13	MI0000071	MIMAT0000071	hsa-miR-17-3p
hsa-mir-891a	-1.64	2.01	3.65	1.05608314061194e-13	4.22433256244774e-13	MI0005524	MIMAT0026717	hsa-miR-891a-3p
hsa-mir-891a	-1.64	2.01	3.65	1.05608314061194e-13	4.22433256244774e-13	MI0005524	MIMAT0004902	hsa-miR-891a-5p
hsa-mir-590	1.21	5.86	4.64	1.08287670146842e-13	4.29918212821791e-13	MI0003602	MIMAT0003258	hsa-miR-590-5p
hsa-mir-590	1.21	5.86	4.64	1.08287670146842e-13	4.29918212821791e-13	MI0003602	MIMAT0004801	hsa-miR-590-3p
hsa-mir-133a-1	-2.02	3.02	5.04	1.18410947419281e-13	4.62266263712101e-13	MI0000450	MIMAT0000427	hsa-miR-133a-3p
hsa-mir-133a-1	-2.02	3.02	5.04	1.18410947419281e-13	4.62266263712101e-13	MI0000450	MIMAT0026478	hsa-miR-133a-5p
hsa-mir-3913-1	0.96	3.75	2.79	1.18703408421866e-13	4.62266263712101e-13	MI0016417	MIMAT0018187	hsa-miR-3913-5p
hsa-mir-3913-1	0.96	3.75	2.79	1.18703408421866e-13	4.62266263712101e-13	MI0016417	MIMAT0019225	hsa-miR-3913-3p
hsa-mir-3194	0.55	0.85	0.3	1.19042252121349e-13	4.62266263712101e-13	MI0014239	MIMAT0019218	hsa-miR-3194-3p
hsa-mir-3194	0.55	0.85	0.3	1.19042252121349e-13	4.62266263712101e-13	MI0014239	MIMAT0015078	hsa-miR-3194-5p
hsa-mir-659	0.99	2.75	1.76	2.21156818552693e-13	8.46441924244841e-13	MI0003683	MIMAT0003337	hsa-miR-659-3p
hsa-mir-659	0.99	2.75	1.76	2.21156818552693e-13	8.46441924244841e-13	MI0003683	MIMAT0022710	hsa-miR-659-5p
hsa-mir-19a	1.14	6.18	5.03	3.52922727739692e-13	1.34110636541083e-12	MI0000073	MIMAT0004490	hsa-miR-19a-5p
hsa-mir-19a	1.14	6.18	5.03	3.52922727739692e-13	1.34110636541083e-12	MI0000073	MIMAT0000073	hsa-miR-19a-3p
hsa-mir-296	-1.05	3.75	4.8	3.96327874350017e-13	1.49536474577453e-12	MI0000747	MIMAT0000690	hsa-miR-296-5p
hsa-mir-296	-1.05	3.75	4.8	3.96327874350017e-13	1.49536474577453e-12	MI0000747	MIMAT0004679	hsa-miR-296-3p
hsa-mir-148a	1.05	17.23	16.18	4.93161116535324e-13	1.83469730067687e-12	MI0000253	MIMAT0004549	hsa-miR-148a-5p
hsa-mir-148a	1.05	17.23	16.18	4.93161116535324e-13	1.83469730067687e-12	MI0000253	MIMAT0000243	hsa-miR-148a-3p
hsa-mir-676	-0.96	1.7	2.66	6.00813249083258e-13	2.21967117022426e-12	MI0016436	MIMAT0018204	hsa-miR-676-3p
hsa-mir-676	-0.96	1.7	2.66	6.00813249083258e-13	2.21967117022426e-12	MI0016436	MIMAT0018203	hsa-miR-676-5p
hsa-mir-548t	0.46	0.68	0.22	7.09843876728154e-13	2.60439270634054e-12	MI0014164	MIMAT0022730	hsa-miR-548t-3p
hsa-mir-548t	0.46	0.68	0.22	7.09843876728154e-13	2.60439270634054e-12	MI0014164	MIMAT0015009	hsa-miR-548t-5p
hsa-mir-497	-1.07	6.48	7.55	9.34566816792681e-13	3.40540785297059e-12	MI0003138	MIMAT0004768	hsa-miR-497-3p
hsa-mir-497	-1.07	6.48	7.55	9.34566816792681e-13	3.40540785297059e-12	MI0003138	MIMAT0002820	hsa-miR-497-5p
hsa-mir-3613	1.11	5.42	4.31	1.59034548699877e-12	5.75553604818603e-12	MI0016003	MIMAT0017991	hsa-miR-3613-3p
hsa-mir-3613	1.11	5.42	4.31	1.59034548699877e-12	5.75553604818603e-12	MI0016003	MIMAT0017990	hsa-miR-3613-5p
hsa-mir-3150b	0.89	2.51	1.62	1.90502956267825e-12	6.84780896854615e-12	MI0016426	MIMAT0018194	hsa-miR-3150b-3p
hsa-mir-3150b	0.89	2.51	1.62	1.90502956267825e-12	6.84780896854615e-12	MI0016426	MIMAT0019226	hsa-miR-3150b-5p
hsa-mir-1276	0.4	0.57	0.17	2.51715171691656e-12	8.98741418388999e-12	MI0006416	MIMAT0005930	hsa-miR-1276
hsa-mir-421	1.09	3.27	2.18	3.04189831725512e-12	1.07885993651982e-11	MI0003685	MIMAT0003339	hsa-miR-421
hsa-mir-3655	0.48	0.78	0.29	3.20197671454465e-12	1.12811365042235e-11	MI0016055	MIMAT0018075	hsa-miR-3655
hsa-mir-107	1.02	7.85	6.83	3.41983311740691e-12	1.19694159109242e-11	MI0000114	MIMAT0000104	hsa-miR-107
hsa-mir-140	-0.88	11.3	12.18	3.88105964423468e-12	1.34949263446592e-11	MI0000456	MIMAT0004597	hsa-miR-140-3p
hsa-mir-140	-0.88	11.3	12.18	3.88105964423468e-12	1.34949263446592e-11	MI0000456	MIMAT0000431	hsa-miR-140-5p
hsa-mir-629	0.82	8.8	7.98	4.63812245562253e-12	1.6022604846696e-11	MI0003643	MIMAT0003298	hsa-miR-629-3p
hsa-mir-629	0.82	8.8	7.98	4.63812245562253e-12	1.6022604846696e-11	MI0003643	MIMAT0004810	hsa-miR-629-5p
hsa-mir-939	0.86	2.3	1.44	6.72300588129654e-12	2.29271739028831e-11	MI0005761	MIMAT0022939	hsa-miR-939-3p
hsa-mir-939	0.86	2.3	1.44	6.72300588129654e-12	2.29271739028831e-11	MI0005761	MIMAT0004982	hsa-miR-939-5p
hsa-mir-3161	0.42	0.59	0.17	7.44471618987809e-12	2.52266816115614e-11	MI0014191	MIMAT0015035	hsa-miR-3161
hsa-mir-3934	0.86	2.65	1.79	1.25388676522194e-11	4.22194784239285e-11	MI0016590	MIMAT0018349	hsa-miR-3934-5p
hsa-mir-3934	0.86	2.65	1.79	1.25388676522194e-11	4.22194784239285e-11	MI0016590	MIMAT0022975	hsa-miR-3934-3p
hsa-mir-1910	0.55	0.89	0.34	2.0137650175743e-11	6.69576868343454e-11	MI0008331	MIMAT0007884	hsa-miR-1910-5p
hsa-mir-1910	0.55	0.89	0.34	2.0137650175743e-11	6.69576868343454e-11	MI0008331	MIMAT0026917	hsa-miR-1910-3p
hsa-mir-632	0.59	0.98	0.39	2.04922427485202e-11	6.77134977777189e-11	MI0003647	MIMAT0003302	hsa-miR-632
hsa-mir-3615	1.39	3.85	2.47	2.57822064193563e-11	8.38953968906796e-11	MI0016005	MIMAT0017994	hsa-miR-3615
hsa-mir-326	-1.15	4.92	6.08	2.5862490770811e-11	8.38953968906796e-11	MI0000808	MIMAT0000756	hsa-miR-326
hsa-mir-1262	-0.82	1.47	2.29	3.12688226151088e-11	1.00818264431745e-10	MI0006397	MIMAT0005914	hsa-miR-1262
hsa-mir-600	0.26	0.34	0.08	3.71292094646552e-11	1.18992406236124e-10	MI0003613	MIMAT0003268	hsa-miR-600
hsa-mir-548f-1	0.36	0.47	0.11	4.24593623829997e-11	1.35259765196143e-10	MI0006374	MIMAT0005895	hsa-miR-548f-3p
hsa-mir-548f-1	0.36	0.47	0.11	4.24593623829997e-11	1.35259765196143e-10	MI0006374	MIMAT0026739	hsa-miR-548f-5p
hsa-mir-106b	0.79	11.01	10.22	4.45626085937364e-11	1.41114927213498e-10	MI0000734	MIMAT0004672	hsa-miR-106b-3p
hsa-mir-106b	0.79	11.01	10.22	4.45626085937364e-11	1.41114927213498e-10	MI0000734	MIMAT0000680	hsa-miR-106b-5p
hsa-mir-379	-0.95	11.08	12.03	4.82695629199661e-11	1.51949156647467e-10	MI0000787	MIMAT0004690	hsa-miR-379-3p
hsa-mir-379	-0.95	11.08	12.03	4.82695629199661e-11	1.51949156647467e-10	MI0000787	MIMAT0000733	hsa-miR-379-5p
hsa-mir-597	0.28	0.38	0.1	4.98067693948066e-11	1.55865890106101e-10	MI0003609	MIMAT0026619	hsa-miR-597-3p
hsa-mir-597	0.28	0.38	0.1	4.98067693948066e-11	1.55865890106101e-10	MI0003609	MIMAT0003265	hsa-miR-597-5p
hsa-mir-3682	0.86	2.01	1.16	6.00431218619173e-11	1.85714772270581e-10	MI0016083	MIMAT0018110	hsa-miR-3682-3p
hsa-mir-3682	0.86	2.01	1.16	6.00431218619173e-11	1.85714772270581e-10	MI0016083	MIMAT0019222	hsa-miR-3682-5p
hsa-mir-18a	1.11	4.88	3.78	6.32619537192737e-11	1.94539649587593e-10	MI0000072	MIMAT0000072	hsa-miR-18a-5p
hsa-mir-18a	1.11	4.88	3.78	6.32619537192737e-11	1.94539649587593e-10	MI0000072	MIMAT0002891	hsa-miR-18a-3p
hsa-mir-1537	0.46	0.76	0.3	8.28477556496607e-11	2.53304632216204e-10	MI0007258	MIMAT0007399	hsa-miR-1537-3p
hsa-mir-1537	0.46	0.76	0.3	8.28477556496607e-11	2.53304632216204e-10	MI0007258	MIMAT0026765	hsa-miR-1537-5p
hsa-mir-143	-0.89	17.13	18.02	1.19923414475438e-10	3.6456718000533e-10	MI0000459	MIMAT0004599	hsa-miR-143-5p
hsa-mir-143	-0.89	17.13	18.02	1.19923414475438e-10	3.6456718000533e-10	MI0000459	MIMAT0000435	hsa-miR-143-3p
hsa-mir-1251	0.75	1.22	0.47	1.24816277757546e-10	3.77285566858038e-10	MI0006386	MIMAT0026741	hsa-miR-1251-3p
hsa-mir-1251	0.75	1.22	0.47	1.24816277757546e-10	3.77285566858038e-10	MI0006386	MIMAT0005903	hsa-miR-1251-5p
hsa-mir-129-2	-1.07	2.13	3.21	1.27087798025861e-10	3.8198140423592e-10	MI0000473	MIMAT0004605	hsa-miR-129-2-3p
hsa-mir-129-2	-1.07	2.13	3.21	1.27087798025861e-10	3.8198140423592e-10	MI0000473	MIMAT0000242	hsa-miR-129-5p
hsa-mir-194-2	0.84	8.34	7.5	1.42192725868453e-10	4.24980506528187e-10	MI0000732	MIMAT0004671	hsa-miR-194-3p
hsa-mir-194-2	0.84	8.34	7.5	1.42192725868453e-10	4.24980506528187e-10	MI0000732	MIMAT0000460_1	hsa-miR-194-5p
hsa-mir-675	-1.23	6.57	7.8	1.48465917175067e-10	4.41250658866681e-10	MI0005416	MIMAT0006790	hsa-miR-675-3p
hsa-mir-675	-1.23	6.57	7.8	1.48465917175067e-10	4.41250658866681e-10	MI0005416	MIMAT0004284	hsa-miR-675-5p
hsa-mir-1266	0.73	5.59	4.85	1.67458718404061e-10	4.94933545505335e-10	MI0006403	MIMAT0026742	hsa-miR-1266-3p
hsa-mir-1266	0.73	5.59	4.85	1.67458718404061e-10	4.94933545505335e-10	MI0006403	MIMAT0005920	hsa-miR-1266-5p
hsa-mir-3200	1.14	3.51	2.38	1.86983361788595e-10	5.49586455643827e-10	MI0014249	MIMAT0017392	hsa-miR-3200-5p
hsa-mir-3200	1.14	3.51	2.38	1.86983361788595e-10	5.49586455643827e-10	MI0014249	MIMAT0015085	hsa-miR-3200-3p
hsa-mir-433	-0.96	2.08	3.05	2.07371320135825e-10	6.06162320397027e-10	MI0001723	MIMAT0001627	hsa-miR-433-3p
hsa-mir-433	-0.96	2.08	3.05	2.07371320135825e-10	6.06162320397027e-10	MI0001723	MIMAT0026554	hsa-miR-433-5p
hsa-mir-1293	0.33	0.46	0.13	2.37731842513308e-10	6.91111148727211e-10	MI0006355	MIMAT0005883	hsa-miR-1293
hsa-mir-450b	1.09	5.99	4.91	2.40712929013163e-10	6.95974338233709e-10	MI0005531	MIMAT0004909	hsa-miR-450b-5p
hsa-mir-450b	1.09	5.99	4.91	2.40712929013163e-10	6.95974338233709e-10	MI0005531	MIMAT0004910	hsa-miR-450b-3p
hsa-mir-643	0.81	1.72	0.91	2.7902694914255e-10	8.02391010507224e-10	MI0003658	MIMAT0003313	hsa-miR-643
hsa-mir-605	-0.81	1.1	1.9	3.48291322106612e-10	9.96188082584502e-10	MI0003618	MIMAT0026621	hsa-miR-605-3p
hsa-mir-605	-0.81	1.1	1.9	3.48291322106612e-10	9.96188082584502e-10	MI0003618	MIMAT0003273	hsa-miR-605-5p
hsa-mir-15b	1.18	9.51	8.33	5.79179040416395e-10	1.64771791177285e-09	MI0000438	MIMAT0004586	hsa-miR-15b-3p
hsa-mir-15b	1.18	9.51	8.33	5.79179040416395e-10	1.64771791177285e-09	MI0000438	MIMAT0000417	hsa-miR-15b-5p
hsa-mir-19b-1	0.95	4.6	3.65	6.61507182719663e-10	1.87192458088756e-09	MI0000074	MIMAT0004491	hsa-miR-19b-1-5p
hsa-mir-19b-1	0.95	4.6	3.65	6.61507182719663e-10	1.87192458088756e-09	MI0000074	MIMAT0000074	hsa-miR-19b-3p
hsa-mir-3917	0.93	2.49	1.56	7.46475071821332e-10	2.10118909105264e-09	MI0016423	MIMAT0018191	hsa-miR-3917
hsa-mir-615	0.91	4.81	3.9	7.78720190581356e-10	2.17927720421911e-09	MI0003628	MIMAT0003283	hsa-miR-615-3p
hsa-mir-615	0.91	4.81	3.9	7.78720190581356e-10	2.17927720421911e-09	MI0003628	MIMAT0004804	hsa-miR-615-5p
hsa-mir-425	1.07	10.15	9.08	7.82409672943328e-10	2.17927720421911e-09	MI0001448	MIMAT0001343	hsa-miR-425-3p
hsa-mir-425	1.07	10.15	9.08	7.82409672943328e-10	2.17927720421911e-09	MI0001448	MIMAT0003393	hsa-miR-425-5p
hsa-mir-3922	0.68	1.52	0.84	8.32208066816975e-10	2.30590985180537e-09	MI0016429	MIMAT0019227	hsa-miR-3922-5p
hsa-mir-3922	0.68	1.52	0.84	8.32208066816975e-10	2.30590985180537e-09	MI0016429	MIMAT0018197	hsa-miR-3922-3p
hsa-mir-589	0.7	7.78	7.08	8.58851666181829e-10	2.36740459279136e-09	MI0003599	MIMAT0003256	hsa-miR-589-3p
hsa-mir-589	0.7	7.78	7.08	8.58851666181829e-10	2.36740459279136e-09	MI0003599	MIMAT0004799	hsa-miR-589-5p
hsa-mir-381	-0.93	6.56	7.49	9.51697159699169e-10	2.60980870597916e-09	MI0000789	MIMAT0000736	hsa-miR-381-3p
hsa-mir-381	-0.93	6.56	7.49	9.51697159699169e-10	2.60980870597916e-09	MI0000789	MIMAT0022862	hsa-miR-381-5p
hsa-mir-328	-0.83	7.2	8.03	1.10213787870968e-09	3.00685821268486e-09	MI0000804	MIMAT0000752	hsa-miR-328-3p
hsa-mir-328	-0.83	7.2	8.03	1.10213787870968e-09	3.00685821268486e-09	MI0000804	MIMAT0026486	hsa-miR-328-5p
hsa-mir-551b	-1.49	2.22	3.71	1.17059087526178e-09	3.17731808999625e-09	MI0003575	MIMAT0003233	hsa-miR-551b-3p
hsa-mir-551b	-1.49	2.22	3.71	1.17059087526178e-09	3.17731808999625e-09	MI0003575	MIMAT0004794	hsa-miR-551b-5p
hsa-mir-506	0.3	0.43	0.13	1.24405849137818e-09	3.35958942849335e-09	MI0003193	MIMAT0002878	hsa-miR-506-3p
hsa-mir-506	0.3	0.43	0.13	1.24405849137818e-09	3.35958942849335e-09	MI0003193	MIMAT0022701	hsa-miR-506-5p
hsa-mir-766	0.8	4.93	4.14	1.47931601329675e-09	3.97472787411046e-09	MI0003836	MIMAT0022714	hsa-miR-766-5p
hsa-mir-766	0.8	4.93	4.14	1.47931601329675e-09	3.97472787411046e-09	MI0003836	MIMAT0003888	hsa-miR-766-3p
hsa-mir-345	0.95	5.91	4.96	2.34870578475346e-09	6.27895214818513e-09	MI0000825	MIMAT0000772	hsa-miR-345-5p
hsa-mir-345	0.95	5.91	4.96	2.34870578475346e-09	6.27895214818513e-09	MI0000825	MIMAT0022698	hsa-miR-345-3p
hsa-mir-130a	-0.78	7.79	8.57	2.8202158996615e-09	7.42749930009861e-09	MI0000448	MIMAT0004593	hsa-miR-130a-5p
hsa-mir-130a	-0.78	7.79	8.57	2.8202158996615e-09	7.42749930009861e-09	MI0000448	MIMAT0000425	hsa-miR-130a-3p
hsa-mir-1-2	-1.5	3.66	5.16	3.02735360634643e-09	7.93375427870099e-09	MI0000437	MIMAT0000416	hsa-miR-1-3p
hsa-mir-708	0.87	8.73	7.86	3.34980217861882e-09	8.73575862267262e-09	MI0005543	MIMAT0004926	hsa-miR-708-5p
hsa-mir-708	0.87	8.73	7.86	3.34980217861882e-09	8.73575862267262e-09	MI0005543	MIMAT0004927	hsa-miR-708-3p
hsa-mir-455	0.98	9.31	8.32	3.75770284409976e-09	9.75169713688328e-09	MI0003513	MIMAT0003150	hsa-miR-455-5p
hsa-mir-455	0.98	9.31	8.32	3.75770284409976e-09	9.75169713688328e-09	MI0003513	MIMAT0004784	hsa-miR-455-3p
hsa-mir-3691	0.43	0.73	0.3	3.98501466964713e-09	1.02913971080208e-08	MI0016092	MIMAT0019224	hsa-miR-3691-3p
hsa-mir-3691	0.43	0.73	0.3	3.98501466964713e-09	1.02913971080208e-08	MI0016092	MIMAT0018120	hsa-miR-3691-5p
hsa-mir-106a	0.89	5.63	4.74	4.98760395283154e-09	1.28183831058279e-08	MI0000113	MIMAT0004517	hsa-miR-106a-3p
hsa-mir-106a	0.89	5.63	4.74	4.98760395283154e-09	1.28183831058279e-08	MI0000113	MIMAT0000103	hsa-miR-106a-5p
hsa-mir-660	0.75	6.92	6.17	5.02545282405447e-09	1.28535620307547e-08	MI0003684	MIMAT0022711	hsa-miR-660-3p
hsa-mir-660	0.75	6.92	6.17	5.02545282405447e-09	1.28535620307547e-08	MI0003684	MIMAT0003338	hsa-miR-660-5p
hsa-mir-545	0.68	1.55	0.88	6.23801244032925e-09	1.58785771208381e-08	MI0003516	MIMAT0003165	hsa-miR-545-3p
hsa-mir-545	0.68	1.55	0.88	6.23801244032925e-09	1.58785771208381e-08	MI0003516	MIMAT0004785	hsa-miR-545-5p
hsa-mir-1180	0.99	5.7	4.71	7.11103484089525e-09	1.80146215969346e-08	MI0006273	MIMAT0005825	hsa-miR-1180-3p
hsa-mir-1180	0.99	5.7	4.71	7.11103484089525e-09	1.80146215969346e-08	MI0006273	MIMAT0026735	hsa-miR-1180-5p
hsa-mir-1224	0.79	1.62	0.83	8.55368363056448e-09	2.14649042050014e-08	MI0003764	MIMAT0005459	hsa-miR-1224-3p
hsa-mir-1224	0.79	1.62	0.83	8.55368363056448e-09	2.14649042050014e-08	MI0003764	MIMAT0005458	hsa-miR-1224-5p
hsa-mir-20a	0.77	9.5	8.73	9.8774314829942e-09	2.46703922486052e-08	MI0000076	MIMAT0004493	hsa-miR-20a-3p
hsa-mir-20a	0.77	9.5	8.73	9.8774314829942e-09	2.46703922486052e-08	MI0000076	MIMAT0000075	hsa-miR-20a-5p
hsa-mir-432	-0.89	4.33	5.22	1.04710984690569e-08	2.60309550726088e-08	MI0003133	MIMAT0002814	hsa-miR-432-5p
hsa-mir-432	-0.89	4.33	5.22	1.04710984690569e-08	2.60309550726088e-08	MI0003133	MIMAT0002815	hsa-miR-432-3p
hsa-mir-377	-0.86	3.39	4.26	1.10712215770788e-08	2.73948366465392e-08	MI0000785	MIMAT0000730	hsa-miR-377-3p
hsa-mir-377	-0.86	3.39	4.26	1.10712215770788e-08	2.73948366465392e-08	MI0000785	MIMAT0004689	hsa-miR-377-5p
hsa-mir-494	-0.87	2.42	3.29	1.29348037081028e-08	3.18579424662532e-08	MI0003134	MIMAT0002816	hsa-miR-494-3p
hsa-mir-494	-0.87	2.42	3.29	1.29348037081028e-08	3.18579424662532e-08	MI0003134	MIMAT0026607	hsa-miR-494-5p
hsa-mir-3911	0.29	0.41	0.12	1.33365935792627e-08	3.26961649039989e-08	MI0016415	MIMAT0018185	hsa-miR-3911
hsa-mir-3678	0.62	1.52	0.89	1.37419673723799e-08	3.35354433124132e-08	MI0016079	MIMAT0018103	hsa-miR-3678-3p
hsa-mir-3678	0.62	1.52	0.89	1.37419673723799e-08	3.35354433124132e-08	MI0016079	MIMAT0018102	hsa-miR-3678-5p
hsa-mir-185	0.86	7.69	6.84	1.44809292225356e-08	3.51774171067987e-08	MI0000482	MIMAT0004611	hsa-miR-185-3p
hsa-mir-185	0.86	7.69	6.84	1.44809292225356e-08	3.51774171067987e-08	MI0000482	MIMAT0000455	hsa-miR-185-5p
hsa-mir-2276	0.36	0.56	0.2	1.61099357818923e-08	3.87945012264184e-08	MI0011282	MIMAT0026921	hsa-miR-2276-5p
hsa-mir-2276	0.36	0.56	0.2	1.61099357818923e-08	3.87945012264184e-08	MI0011282	MIMAT0011775	hsa-miR-2276-3p
hsa-mir-3170	0.76	2.57	1.81	1.61157608478167e-08	3.87945012264184e-08	MI0014201	MIMAT0015045	hsa-miR-3170
hsa-mir-9-1	1.08	10.67	9.58	1.65250066806569e-08	3.96004664599525e-08	MI0000466	MIMAT0000441	hsa-miR-9-5p
hsa-mir-9-1	1.08	10.67	9.58	1.65250066806569e-08	3.96004664599525e-08	MI0000466	MIMAT0000442	hsa-miR-9-3p
hsa-mir-129-1	-0.89	1.99	2.88	2.34756721358503e-08	5.57547213226445e-08	MI0000252	MIMAT0004548	hsa-miR-129-1-3p
hsa-mir-99b	0.63	17.09	16.46	2.47701905956815e-08	5.85677395417891e-08	MI0000746	MIMAT0000689	hsa-miR-99b-5p
hsa-mir-99b	0.63	17.09	16.46	2.47701905956815e-08	5.85677395417891e-08	MI0000746	MIMAT0004678	hsa-miR-99b-3p
hsa-mir-542	0.92	9.8	8.88	2.54997911230552e-08	6.00260569799352e-08	MI0003686	MIMAT0003340	hsa-miR-542-5p
hsa-mir-542	0.92	9.8	8.88	2.54997911230552e-08	6.00260569799352e-08	MI0003686	MIMAT0003389	hsa-miR-542-3p
hsa-mir-146b	0.8	11.05	10.24	2.5675264720308e-08	6.01728670978143e-08	MI0003129	MIMAT0002809	hsa-miR-146b-5p
hsa-mir-146b	0.8	11.05	10.24	2.5675264720308e-08	6.01728670978143e-08	MI0003129	MIMAT0004766	hsa-miR-146b-3p
hsa-mir-193a	-0.77	10.69	11.46	2.62523557305974e-08	6.12554967047272e-08	MI0000487	MIMAT0000459	hsa-miR-193a-3p
hsa-mir-193a	-0.77	10.69	11.46	2.62523557305974e-08	6.12554967047272e-08	MI0000487	MIMAT0004614	hsa-miR-193a-5p
hsa-mir-126	-0.83	13.23	14.06	2.92113411110993e-08	6.78621548956544e-08	MI0000471	MIMAT0000445	hsa-miR-126-3p
hsa-mir-126	-0.83	13.23	14.06	2.92113411110993e-08	6.78621548956544e-08	MI0000471	MIMAT0000444	hsa-miR-126-5p
hsa-mir-548o	0.55	1.28	0.73	3.46272468879232e-08	8.00943275842397e-08	MI0006402	MIMAT0005919_1	hsa-miR-548o-3p
hsa-mir-423	0.56	9.19	8.63	3.51178601197283e-08	8.08774960333138e-08	MI0001445	MIMAT0004748	hsa-miR-423-5p
hsa-mir-423	0.56	9.19	8.63	3.51178601197283e-08	8.08774960333138e-08	MI0001445	MIMAT0001340	hsa-miR-423-3p
hsa-mir-526b	-0.83	1.6	2.43	3.63416187307302e-08	8.33350912273641e-08	MI0003150	MIMAT0002835	hsa-miR-526b-5p
hsa-mir-526b	-0.83	1.6	2.43	3.63416187307302e-08	8.33350912273641e-08	MI0003150	MIMAT0002836	hsa-miR-526b-3p
hsa-mir-29b-1	0.77	9.94	9.16	4.33239977891522e-08	9.89200292868197e-08	MI0000105	MIMAT0000100_1	hsa-miR-29b-3p
hsa-mir-29b-1	0.77	9.94	9.16	4.33239977891522e-08	9.89200292868197e-08	MI0000105	MIMAT0004514	hsa-miR-29b-1-5p
hsa-mir-299	-0.87	3.46	4.34	4.7342378194454e-08	1.07633099142947e-07	MI0000744	MIMAT0002890	hsa-miR-299-5p
hsa-mir-299	-0.87	3.46	4.34	4.7342378194454e-08	1.07633099142947e-07	MI0000744	MIMAT0000687	hsa-miR-299-3p
hsa-mir-3940	0.73	1.97	1.24	5.67129023957879e-08	1.28388357764081e-07	MI0016597	MIMAT0019229	hsa-miR-3940-5p
hsa-mir-3940	0.73	1.97	1.24	5.67129023957879e-08	1.28388357764081e-07	MI0016597	MIMAT0018356	hsa-miR-3940-3p
hsa-mir-3654	0.28	0.44	0.16	9.46225875008657e-08	2.13301765044324e-07	MI0016054	MIMAT0018074	hsa-miR-3654
hsa-mir-215	-0.97	4.01	4.97	9.53762730070864e-08	2.1409357485135e-07	MI0000291	MIMAT0000272	hsa-miR-215-5p
