Precursor	logFC	mean_cancer	mean_normal	ttest_pvalue	BH.adjusted_pvalues	Precursor.ID	miRNA.ID	miRNA.name
hsa-mir-449b	1.06	1.21	0.15	1.39254233611177e-29	2.84935585696716e-28	MI0003673	MIMAT0009203	hsa-miR-449b-3p
hsa-mir-449b	1.06	1.21	0.15	1.39254233611177e-29	2.84935585696716e-28	MI0003673	MIMAT0003327	hsa-miR-449b-5p
hsa-let-7c	-1.59	12.84	14.43	8.63317323140462e-29	1.70105487374343e-27	MI0000064	MIMAT0000064	hsa-let-7c-5p
hsa-let-7c	-1.59	12.84	14.43	8.63317323140462e-29	1.70105487374343e-27	MI0000064	MIMAT0026472	hsa-let-7c-3p
hsa-mir-429	3.16	8.42	5.26	1.64854105464073e-28	3.13222800381738e-27	MI0001641	MIMAT0001536	hsa-miR-429
hsa-mir-92b	1.64	8.72	7.08	1.72002716323406e-28	3.15536017531214e-27	MI0003560	MIMAT0003218	hsa-miR-92b-3p
hsa-mir-92b	1.64	8.72	7.08	1.72002716323406e-28	3.15536017531214e-27	MI0003560	MIMAT0004792	hsa-miR-92b-5p
hsa-mir-449c	0.67	0.73	0.06	1.71258212484708e-27	3.03697896806215e-26	MI0003823	MIMAT0013771	hsa-miR-449c-3p
hsa-mir-449c	0.67	0.73	0.06	1.71258212484708e-27	3.03697896806215e-26	MI0003823	MIMAT0010251	hsa-miR-449c-5p
hsa-mir-33b	2.11	4.14	2.03	2.33438352339957e-27	4.00610333693087e-26	MI0003646	MIMAT0004811	hsa-miR-33b-3p
hsa-mir-33b	2.11	4.14	2.03	2.33438352339957e-27	4.00610333693087e-26	MI0003646	MIMAT0003301	hsa-miR-33b-5p
hsa-mir-1301	1.91	5.69	3.78	9.5907318687834e-27	1.59445917318524e-25	MI0003815	MIMAT0005797	hsa-miR-1301-3p
hsa-mir-1301	1.91	5.69	3.78	9.5907318687834e-27	1.59445917318524e-25	MI0003815	MIMAT0026639	hsa-miR-1301-5p
hsa-mir-760	1.63	3.2	1.58	1.15590595817378e-26	1.86346051438924e-25	MI0005567	MIMAT0004957	hsa-miR-760
hsa-mir-125b-1	-1.6	11.3	12.9	5.49807474088097e-26	8.60286988867258e-25	MI0000446	MIMAT0000423	hsa-miR-125b-5p
hsa-mir-125b-1	-1.6	11.3	12.9	5.49807474088097e-26	8.60286988867258e-25	MI0000446	MIMAT0004592	hsa-miR-125b-1-3p
hsa-mir-3174	0.61	0.75	0.14	5.69658360229286e-26	8.65880707548514e-25	MI0014208	MIMAT0015051	hsa-miR-3174
hsa-mir-3664	1.16	1.59	0.44	6.13110549408925e-26	9.06041145237633e-25	MI0016065	MIMAT0018086	hsa-miR-3664-5p
hsa-mir-3664	1.16	1.59	0.44	6.13110549408925e-26	9.06041145237633e-25	MI0016065	MIMAT0019220	hsa-miR-3664-3p
hsa-mir-181b-1	1.62	10.39	8.77	2.09580358553943e-25	3.01342569596481e-24	MI0000270	MIMAT0022692	hsa-miR-181b-3p
hsa-mir-181b-1	1.62	10.39	8.77	2.09580358553943e-25	3.01342569596481e-24	MI0000270	MIMAT0000257	hsa-miR-181b-5p
hsa-mir-125b-2	-1.51	5.95	7.46	3.51523440151133e-25	4.92132816211587e-24	MI0000470	MIMAT0004603	hsa-miR-125b-2-3p
hsa-mir-2114	1.07	1.51	0.44	3.9164795695529e-25	5.34247982308242e-24	MI0010633	MIMAT0011156	hsa-miR-2114-5p
hsa-mir-2114	1.07	1.51	0.44	3.9164795695529e-25	5.34247982308242e-24	MI0010633	MIMAT0011157	hsa-miR-2114-3p
hsa-mir-3176	0.52	0.62	0.1	9.69922463503604e-25	1.28999687645979e-23	MI0014210	MIMAT0015053	hsa-miR-3176
hsa-mir-767	1.29	1.65	0.35	2.81898434023773e-24	3.6578040707475e-23	MI0003763	MIMAT0003883	hsa-miR-767-3p
hsa-mir-767	1.29	1.65	0.35	2.81898434023773e-24	3.6578040707475e-23	MI0003763	MIMAT0003882	hsa-miR-767-5p
hsa-mir-100	-1.55	13.32	14.87	3.00108896506062e-24	3.80137935574346e-23	MI0000102	MIMAT0004512	hsa-miR-100-3p
hsa-mir-100	-1.55	13.32	14.87	3.00108896506062e-24	3.80137935574346e-23	MI0000102	MIMAT0000098	hsa-miR-100-5p
hsa-mir-200a	2.94	11.59	8.64	3.13220009059119e-24	3.87518708882445e-23	MI0000737	MIMAT0001620	hsa-miR-200a-5p
hsa-mir-200a	2.94	11.59	8.64	3.13220009059119e-24	3.87518708882445e-23	MI0000737	MIMAT0000682	hsa-miR-200a-3p
hsa-mir-141	3.07	12.55	9.48	4.01754203195405e-24	4.85757354772626e-23	MI0000457	MIMAT0000432	hsa-miR-141-3p
hsa-mir-141	3.07	12.55	9.48	4.01754203195405e-24	4.85757354772626e-23	MI0000457	MIMAT0004598	hsa-miR-141-5p
hsa-mir-3156-3	0.6	0.65	0.05	7.19828153420429e-24	8.50996839154818e-23	MI0014242	MIMAT0015030_2	hsa-miR-3156-5p
hsa-mir-486-1	-3.5	7.23	10.74	1.05441904470238e-23	1.21945854735144e-22	MI0002470	MIMAT0002177	hsa-miR-486-5p
hsa-mir-486-1	-3.5	7.23	10.74	1.05441904470238e-23	1.21945854735144e-22	MI0002470	MIMAT0004762	hsa-miR-486-3p
hsa-mir-3156-2	0.57	0.63	0.06	2.86956384475859e-23	3.24810205406717e-22	MI0014230	MIMAT0019209_1	hsa-miR-3156-3p
hsa-mir-452	-2.1	6.71	8.81	3.5096201261274e-23	3.88982897312454e-22	MI0001733	MIMAT0001635	hsa-miR-452-5p
hsa-mir-452	-2.1	6.71	8.81	3.5096201261274e-23	3.88982897312454e-22	MI0001733	MIMAT0001636	hsa-miR-452-3p
hsa-mir-3677	1.9	5.07	3.17	6.94381725470062e-23	7.53900159081782e-22	MI0016078	MIMAT0018101	hsa-miR-3677-3p
hsa-mir-3677	1.9	5.07	3.17	6.94381725470062e-23	7.53900159081782e-22	MI0016078	MIMAT0019221	hsa-miR-3677-5p
hsa-mir-192	1.67	10.56	8.89	9.04743645926461e-23	9.62647239265755e-22	MI0000234	MIMAT0000222	hsa-miR-192-5p
hsa-mir-192	1.67	10.56	8.89	9.04743645926461e-23	9.62647239265755e-22	MI0000234	MIMAT0004543	hsa-miR-192-3p
hsa-mir-511	-1.82	3.44	5.26	1.15411683929343e-22	1.20390227157668e-21	MI0003127	MIMAT0002808	hsa-miR-511-5p
hsa-mir-511	-1.82	3.44	5.26	1.15411683929343e-22	1.20390227157668e-21	MI0003127	MIMAT0026606	hsa-miR-511-3p
hsa-mir-1258	-1.91	1.88	3.79	1.3693248179835e-22	1.40092462147542e-21	MI0006392	MIMAT0005909	hsa-miR-1258
hsa-mir-337	-1.77	6.74	8.51	2.76121318479941e-22	2.77163285719488e-21	MI0000806	MIMAT0000754	hsa-miR-337-3p
hsa-mir-337	-1.77	6.74	8.51	2.76121318479941e-22	2.77163285719488e-21	MI0000806	MIMAT0004695	hsa-miR-337-5p
hsa-mir-639	0.97	1.38	0.42	4.86385186733999e-22	4.79179480263865e-21	MI0003654	MIMAT0003309	hsa-miR-639
hsa-mir-3150a	0.46	0.54	0.08	9.31721598400855e-22	9.01228891544099e-21	MI0014177	MIMAT0015023	hsa-miR-3150a-3p
hsa-mir-3150a	0.46	0.54	0.08	9.31721598400855e-22	9.01228891544099e-21	MI0014177	MIMAT0019206	hsa-miR-3150a-5p
hsa-mir-940	1.73	3.87	2.14	1.4490998082841e-21	1.3766448178699e-20	MI0005762	MIMAT0004983	hsa-miR-940
hsa-mir-1277	1.26	2.17	0.9	2.24889696412757e-21	2.0989704998524e-20	MI0006419	MIMAT0005933	hsa-miR-1277-3p
hsa-mir-1277	1.26	2.17	0.9	2.24889696412757e-21	2.0989704998524e-20	MI0006419	MIMAT0022724	hsa-miR-1277-5p
hsa-mir-181b-2	1.44	4.19	2.75	2.67273167715494e-21	2.45154009008005e-20	MI0000683	MIMAT0031893	hsa-miR-181b-2-3p
hsa-mir-148b	1.4	9.31	7.9	4.13773791979159e-21	3.73097724293072e-20	MI0000811	MIMAT0004699	hsa-miR-148b-5p
hsa-mir-148b	1.4	9.31	7.9	4.13773791979159e-21	3.73097724293072e-20	MI0000811	MIMAT0000759	hsa-miR-148b-3p
hsa-mir-3619	0.76	1.06	0.3	4.6706064042946e-21	4.14127101180788e-20	MI0016009	MIMAT0017999	hsa-miR-3619-5p
hsa-mir-3619	0.76	1.06	0.3	4.6706064042946e-21	4.14127101180788e-20	MI0016009	MIMAT0019219	hsa-miR-3619-3p
hsa-mir-1307	1.42	12.21	10.79	5.0087031848554e-21	4.36824605630012e-20	MI0006444	MIMAT0005951	hsa-miR-1307-3p
hsa-mir-1307	1.42	12.21	10.79	5.0087031848554e-21	4.36824605630012e-20	MI0006444	MIMAT0022727	hsa-miR-1307-5p
hsa-mir-130b	1.5	6.23	4.73	5.35966459302751e-21	4.59893800563005e-20	MI0000748	MIMAT0000691	hsa-miR-130b-3p
hsa-mir-130b	1.5	6.23	4.73	5.35966459302751e-21	4.59893800563005e-20	MI0000748	MIMAT0004680	hsa-miR-130b-5p
hsa-mir-454	1.58	5.17	3.59	7.44906356199349e-21	6.29032034123895e-20	MI0003820	MIMAT0003884	hsa-miR-454-5p
